level_0,index,지역명,규모구분,연도,월,분양가격(제곱미터),자리수
0,0,서울,모든면적,2015,10,5841,4
1,1,서울,전용면적 60제곱미터이하,2015,10,5652,4
2,2,서울,전용면적 60제곱미터초과 85제곱미터이하,2015,10,5882,4
3,3,서울,전용면적 85제곱미터초과 102제곱미터이하,2015,10,5721,4
4,4,서울,전용면적 102제곱미터초과,2015,10,5879,4
5,5,인천,모든면적,2015,10,3163,4
6,6,인천,전용면적 60제곱미터이하,2015,10,3488,4
7,7,인천,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3119,4
8,8,인천,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3545,4
9,9,인천,전용면적 102제곱미터초과,2015,10,3408,4
10,10,경기,모든면적,2015,10,3138,4
11,11,경기,전용면적 60제곱미터이하,2015,10,3126,4
12,12,경기,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3239,4
13,13,경기,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3496,4
14,14,경기,전용면적 102제곱미터초과,2015,10,3680,4
15,15,부산,모든면적,2015,10,3112,4
16,16,부산,전용면적 60제곱미터이하,2015,10,2950,4
17,17,부산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2999,4
18,18,부산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2957,4
19,19,부산,전용면적 102제곱미터초과,2015,10,3500,4
20,20,대구,모든면적,2015,10,2682,4
21,21,대구,전용면적 60제곱미터이하,2015,10,2614,4
22,22,대구,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2696,4
23,23,대구,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2557,4
24,24,대구,전용면적 102제곱미터초과,2015,10,2598,4
25,25,광주,모든면적,2015,10,2420,4
26,26,광주,전용면적 60제곱미터이하,2015,10,2253,4
27,27,광주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2439,4
28,28,광주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,  ,0
29,29,광주,전용면적 102제곱미터초과,2015,10,  ,0
30,30,대전,모든면적,2015,10,2454,4
31,31,대전,전용면적 60제곱미터이하,2015,10,2585,4
32,32,대전,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2428,4
33,33,대전,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2461,4
34,34,대전,전용면적 102제곱미터초과,2015,10,  ,0
35,35,울산,모든면적,2015,10,3053,4
36,36,울산,전용면적 60제곱미터이하,2015,10,2422,4
37,37,울산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3040,4
38,38,울산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2951,4
39,39,울산,전용면적 102제곱미터초과,2015,10,2690,4
40,40,세종,모든면적,2015,10,2642,4
41,41,세종,전용면적 60제곱미터이하,2015,10,2572,4
42,42,세종,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2657,4
43,43,세종,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2644,4
44,44,세종,전용면적 102제곱미터초과,2015,10,2692,4
45,45,강원,모든면적,2015,10,2167,4
46,46,강원,전용면적 60제곱미터이하,2015,10,2286,4
47,47,강원,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2212,4
48,48,강원,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2061,4
49,49,강원,전용면적 102제곱미터초과,2015,10,2171,4
50,50,충북,모든면적,2015,10,2032,4
51,51,충북,전용면적 60제곱미터이하,2015,10,1919,4
52,52,충북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2033,4
53,53,충북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2102,4
54,54,충북,전용면적 102제곱미터초과,2015,10,2369,4
55,55,충남,모든면적,2015,10,2099,4
56,56,충남,전용면적 60제곱미터이하,2015,10,2206,4
57,57,충남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2101,4
58,58,충남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2743,4
59,59,충남,전용면적 102제곱미터초과,2015,10,2442,4
60,60,전북,모든면적,2015,10,2054,4
61,61,전북,전용면적 60제곱미터이하,2015,10,2127,4
62,62,전북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2056,4
63,63,전북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2377,4
64,64,전북,전용면적 102제곱미터초과,2015,10,2250,4
65,65,전남,모든면적,2015,10,1925,4
66,66,전남,전용면적 60제곱미터이하,2015,10,1999,4
67,67,전남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,1922,4
68,68,전남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2262,4
69,69,전남,전용면적 102제곱미터초과,2015,10,2292,4
70,70,경북,모든면적,2015,10,2148,4
71,71,경북,전용면적 60제곱미터이하,2015,10,2204,4
72,72,경북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2145,4
73,73,경북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2308,4
74,74,경북,전용면적 102제곱미터초과,2015,10,2222,4
75,75,경남,모든면적,2015,10,2291,4
76,76,경남,전용면적 60제곱미터이하,2015,10,2239,4
77,77,경남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2305,4
78,78,경남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2890,4
79,79,경남,전용면적 102제곱미터초과,2015,10,3014,4
80,80,제주,모든면적,2015,10,2232,4
81,81,제주,전용면적 60제곱미터이하,2015,10,  ,0
82,82,제주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2225,4
83,83,제주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2583,4
84,84,제주,전용면적 102제곱미터초과,2015,10,2574,4
85,85,서울,모든면적,2015,11,6050,4
86,86,서울,전용면적 60제곱미터이하,2015,11,6320,4
87,87,서울,전용면적 60제곱미터초과 85제곱미터이하,2015,11,5964,4
88,88,서울,전용면적 85제곱미터초과 102제곱미터이하,2015,11,7092,4
89,89,서울,전용면적 102제곱미터초과,2015,11,6551,4
90,90,인천,모든면적,2015,11,3184,4
91,91,인천,전용면적 60제곱미터이하,2015,11,3328,4
92,92,인천,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3119,4
93,93,인천,전용면적 85제곱미터초과 102제곱미터이하,2015,11,3545,4
94,94,인천,전용면적 102제곱미터초과,2015,11,3408,4
95,95,경기,모든면적,2015,11,3098,4
96,96,경기,전용면적 60제곱미터이하,2015,11,3079,4
97,97,경기,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3202,4
98,98,경기,전용면적 85제곱미터초과 102제곱미터이하,2015,11,3391,4
99,99,경기,전용면적 102제곱미터초과,2015,11,3724,4
100,100,부산,모든면적,2015,11,3131,4
101,101,부산,전용면적 60제곱미터이하,2015,11,2982,4
102,102,부산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3037,4
103,103,부산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2957,4
104,104,부산,전용면적 102제곱미터초과,2015,11,3739,4
105,105,대구,모든면적,2015,11,2749,4
106,106,대구,전용면적 60제곱미터이하,2015,11,2503,4
107,107,대구,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2806,4
108,108,대구,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2557,4
109,109,대구,전용면적 102제곱미터초과,2015,11,2743,4
110,110,광주,모든면적,2015,11,2424,4
111,111,광주,전용면적 60제곱미터이하,2015,11,2251,4
112,112,광주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2444,4
113,113,광주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,  ,0
114,114,광주,전용면적 102제곱미터초과,2015,11,  ,0
115,115,대전,모든면적,2015,11,2454,4
116,116,대전,전용면적 60제곱미터이하,2015,11,2585,4
117,117,대전,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2428,4
118,118,대전,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2461,4
119,119,대전,전용면적 102제곱미터초과,2015,11,  ,0
120,120,울산,모든면적,2015,11,3043,4
121,121,울산,전용면적 60제곱미터이하,2015,11,2584,4
122,122,울산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3048,4
123,123,울산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2663,4
124,124,울산,전용면적 102제곱미터초과,2015,11,2874,4
125,125,세종,모든면적,2015,11,2648,4
126,126,세종,전용면적 60제곱미터이하,2015,11,2572,4
127,127,세종,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2666,4
128,128,세종,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2644,4
129,129,세종,전용면적 102제곱미터초과,2015,11,2749,4
130,130,강원,모든면적,2015,11,2171,4
131,131,강원,전용면적 60제곱미터이하,2015,11,2292,4
132,132,강원,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2193,4
